Time Mean Min Max StDev ConfidenceInterval
0 7739700.0 7739700.0 7739700.0 0 0
1 7554900.0 7554900.0 7554900.0 0 0
2 7444200.0 7444200.0 7444200.0 0 0
3 7426800.0 7426800.0 7426800.0 0 0
4 7393800.0 7393800.0 7393800.0 0 0
5 7388100.0 7388100.0 7388100.0 0 0
6 7382100.0 7382100.0 7382100.0 0 0
7 7351500.0 7351500.0 7351500.0 0 0
8 7319400.0 7319400.0 7319400.0 0 0
9 7308300.0 7308300.0 7308300.0 0 0
10 7257600.0 7257600.0 7257600.0 0 0
11 7246500.0 7246500.0 7246500.0 0 0
12 7234200.0 7234200.0 7234200.0 0 0
13 7220700.0 7220700.0 7220700.0 0 0
14 7220700.0 7220700.0 7220700.0 0 0
15 7208400.0 7208400.0 7208400.0 0 0
16 7194600.0 7194600.0 7194600.0 0 0
17 7178700.0 7178700.0 7178700.0 0 0
18 7165200.0 7165200.0 7165200.0 0 0
19 7150500.0 7150500.0 7150500.0 0 0
20 7122000.0 7122000.0 7122000.0 0 0
21 7116000.0 7116000.0 7116000.0 0 0
22 7113600.0 7113600.0 7113600.0 0 0
23 7104900.0 7104900.0 7104900.0 0 0
24 7091700.0 7091700.0 7091700.0 0 0
25 7089900.0 7089900.0 7089900.0 0 0
26 7075800.0 7075800.0 7075800.0 0 0
27 7070400.0 7070400.0 7070400.0 0 0
28 7067700.0 7067700.0 7067700.0 0 0
29 7057500.0 7057500.0 7057500.0 0 0
30 7048800.0 7048800.0 7048800.0 0 0
31 7040700.0 7040700.0 7040700.0 0 0
32 7038000.0 7038000.0 7038000.0 0 0
33 7010700.0 7010700.0 7010700.0 0 0
34 6980100.0 6980100.0 6980100.0 0 0
35 6944700.0 6944700.0 6944700.0 0 0
36 6943500.0 6943500.0 6943500.0 0 0
37 6936300.0 6936300.0 6936300.0 0 0
38 6930300.0 6930300.0 6930300.0 0 0
39 6915600.0 6915600.0 6915600.0 0 0
40 6914100.0 6914100.0 6914100.0 0 0
41 6907500.0 6907500.0 6907500.0 0 0
42 6900000.0 6900000.0 6900000.0 0 0
43 6899700.0 6899700.0 6899700.0 0 0
44 6893400.0 6893400.0 6893400.0 0 0
45 6892200.0 6892200.0 6892200.0 0 0
46 6891900.0 6891900.0 6891900.0 0 0
47 6891300.0 6891300.0 6891300.0 0 0
48 6868800.0 6868800.0 6868800.0 0 0
49 6842400.0 6842400.0 6842400.0 0 0
50 6837600.0 6837600.0 6837600.0 0 0
51 6835800.0 6835800.0 6835800.0 0 0
52 6834900.0 6834900.0 6834900.0 0 0
53 6828600.0 6828600.0 6828600.0 0 0
54 6823800.0 6823800.0 6823800.0 0 0
55 6821700.0 6821700.0 6821700.0 0 0
56 6815400.0 6815400.0 6815400.0 0 0
57 6814500.0 6814500.0 6814500.0 0 0
58 6813300.0 6813300.0 6813300.0 0 0
59 6800700.0 6800700.0 6800700.0 0 0
60 6795000.0 6795000.0 6795000.0 0 0
61 6781500.0 6781500.0 6781500.0 0 0
62 6778500.0 6778500.0 6778500.0 0 0
63 6773400.0 6773400.0 6773400.0 0 0
64 6768900.0 6768900.0 6768900.0 0 0
65 6757200.0 6757200.0 6757200.0 0 0
66 6754500.0 6754500.0 6754500.0 0 0
67 6727500.0 6727500.0 6727500.0 0 0
68 6726900.0 6726900.0 6726900.0 0 0
69 6712800.0 6712800.0 6712800.0 0 0
70 6710400.0 6710400.0 6710400.0 0 0
71 6673800.0 6673800.0 6673800.0 0 0
72 6669600.0 6669600.0 6669600.0 0 0
73 6662100.0 6662100.0 6662100.0 0 0
74 6647100.0 6647100.0 6647100.0 0 0
75 6639000.0 6639000.0 6639000.0 0 0
76 6636300.0 6636300.0 6636300.0 0 0
77 6635100.0 6635100.0 6635100.0 0 0
78 6627900.0 6627900.0 6627900.0 0 0
79 6622800.0 6622800.0 6622800.0 0 0
80 6615300.0 6615300.0 6615300.0 0 0
81 6612900.0 6612900.0 6612900.0 0 0
82 6611700.0 6611700.0 6611700.0 0 0
83 6585300.0 6585300.0 6585300.0 0 0
84 6576000.0 6576000.0 6576000.0 0 0
85 6573900.0 6573900.0 6573900.0 0 0
86 6573600.0 6573600.0 6573600.0 0 0
87 6573300.0 6573300.0 6573300.0 0 0
88 6571800.0 6571800.0 6571800.0 0 0
89 6559800.0 6559800.0 6559800.0 0 0
90 6552600.0 6552600.0 6552600.0 0 0
91 6519600.0 6519600.0 6519600.0 0 0
92 6504900.0 6504900.0 6504900.0 0 0
93 6497700.0 6497700.0 6497700.0 0 0
94 6488100.0 6488100.0 6488100.0 0 0
95 6422400.0 6422400.0 6422400.0 0 0
96 6400800.0 6400800.0 6400800.0 0 0
97 6399000.0 6399000.0 6399000.0 0 0
98 6320400.0 6320400.0 6320400.0 0 0
99 6289800.0 6289800.0 6289800.0 0 0
