time mean min max stdev confval
0 0.0 0.0 0.0 0 0
1 0.0 0.0 0.0 0 0
2 0.0 0.0 0.0 0 0
3 2043.0 2043.0 2043.0 0 0
4 2045.0 2045.0 2045.0 0 0
5 0.0 0.0 0.0 0 0
6 2045.0 2045.0 2045.0 0 0
7 0.0 0.0 0.0 0 0
8 2045.0 2045.0 2045.0 0 0
9 0.0 0.0 0.0 0 0
10 2045.0 2045.0 2045.0 0 0
11 0.0 0.0 0.0 0 0
12 2045.0 2045.0 2045.0 0 0
13 0.0 0.0 0.0 0 0
14 0.0 0.0 0.0 0 0
15 0.0 0.0 0.0 0 0
16 4096.0 4096.0 4096.0 0 0
17 0.0 0.0 0.0 0 0
18 1806.0 1806.0 1806.0 0 0
19 1808.0 1808.0 1808.0 0 0
20 0.0 0.0 0.0 0 0
21 0.0 0.0 0.0 0 0
