time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 1024.0 0.0 2048.0 1448.1546878700494 1689.5999999999997
4 2048.0 2048.0 2048.0 0.0 0.0
5 2048.0 2048.0 2048.0 0.0 0.0
6 3072.0 2048.0 4096.0 1448.1546878700494 1689.5999999999997
7 3072.0 2048.0 4096.0 1448.1546878700494 1689.5999999999997
8 4096.0 4096.0 4096.0 0.0 0.0
9 4096.0 4096.0 4096.0 0.0 0.0
10 5120.0 4096.0 6144.0 1448.1546878700494 1689.5999999999997
11 5120.0 4096.0 6144.0 1448.1546878700494 1689.5999999999997
12 5120.0 4096.0 6144.0 1448.1546878700494 1689.5999999999997
13 6144.0 6144.0 6144.0 0.0 0.0
14 7168.0 6144.0 8192.0 1448.1546878700494 1689.5999999999997
15 7168.0 6144.0 8192.0 1448.1546878700494 1689.5999999999997
16 7168.0 6144.0 8192.0 1448.1546878700494 1689.5999999999997
17 8192.0 8192.0 8192.0 0.0 0.0
18 9096.0 8192.0 10000.0 1278.449060385278 1491.5999999999997
19 10000.0 10000.0 10000.0 0.0 0.0
20 10000.0 10000.0 10000.0 0.0 0.0
21 10000.0 10000.0 10000.0 0.0 0.0
