Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0 0
1 2105.0 2105.0 2105.0 0 0
2 2325.0 2325.0 2325.0 0 0
3 1998.0 1998.0 1998.0 0 0
4 1996.0 1996.0 1996.0 0 0
5 1942.0 1942.0 1942.0 0 0
6 1582.0 1582.0 1582.0 0 0
7 1942.0 1942.0 1942.0 0 0
8 2053.0 2053.0 2053.0 0 0
9 2013.0 2013.0 2013.0 0 0
10 1838.0 1838.0 1838.0 0 0
11 2141.0 2141.0 2141.0 0 0
12 2000.0 2000.0 2000.0 0 0
13 1942.0 1942.0 1942.0 0 0
14 2069.0 2069.0 2069.0 0 0
15 1982.0 1982.0 1982.0 0 0
16 2013.0 2013.0 2013.0 0 0
17 1998.0 1998.0 1998.0 0 0
18 1926.0 1926.0 1926.0 0 0
19 2056.0 2056.0 2056.0 0 0
20 2029.0 2029.0 2029.0 0 0
21 0.0 0.0 0.0 0 0
22 0.0 0.0 0.0 0 0
23 0.0 0.0 0.0 0 0
24 0.0 0.0 0.0 0 0
25 0.0 0.0 0.0 0 0
26 0.0 0.0 0.0 0 0
27 0.0 0.0 0.0 0 0
28 0.0 0.0 0.0 0 0
29 0.0 0.0 0.0 0 0
30 0.0 0.0 0.0 0 0
31 0.0 0.0 0.0 0 0
32 0.0 0.0 0.0 0 0
33 0.0 0.0 0.0 0 0
34 0.0 0.0 0.0 0 0
35 0.0 0.0 0.0 0 0
36 0.0 0.0 0.0 0 0
37 0.0 0.0 0.0 0 0
38 0.0 0.0 0.0 0 0
39 0.0 0.0 0.0 0 0
