time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20007] Optional[local:sl-20003] Optional[local:sl-20005] Optional[local:sl-20009] Optional[local:sl-20004] Optional[local:sl-20010] Optional[local:sl-20011] Optional[local:sl-20012] Optional[local:sl-20013] Optional[local:sl-20014] Optional[local:sl-20015] Optional[local:sl-20016] Optional[local:sl-20020] Optional[local:sl-20025] Optional[local:sl-20026] Optional[local:sl-20027] Optional[local:sl-20017] Optional[local:sl-20030] Optional[local:sl-20024] Optional[local:sl-20039] Optional[local:sl-20031] Optional[local:sl-20029] Optional[local:sl-20032] Optional[local:sl-20028] Optional[local:sl-20034] Optional[local:sl-20041] Optional[local:sl-20008] Optional[local:sl-20043] Optional[local:sl-20045] Optional[local:sl-20047] Optional[local:sl-20018] Optional[local:sl-20022] Optional[local:sl-20021] Optional[local:sl-20037] Optional[local:sl-20048] Optional[local:sl-20038] Optional[local:sl-20051] Optional[local:sl-20046] Optional[local:sl-20033] Optional[local:sl-20023] Optional[local:sl-20042] Optional[local:sl-20049] Optional[local:sl-20050] Optional[local:sl-20052] Optional[local:sl-20055] Optional[local:sl-20053] Optional[local:sl-20035] Optional[local:sl-20056] Optional[local:sl-20006] Optional[local:sl-20019] Optional[local:sl-20036] Optional[local:sl-20057] Optional[local:sl-20062] Optional[local:sl-20060] Optional[local:sl-20059] Optional[local:sl-20064] Optional[local:sl-20065] Optional[local:sl-20063] Optional[local:sl-20040] Optional[local:sl-20067] Optional[local:sl-20044] Optional[local:sl-20068] Optional[local:sl-20054] Optional[local:sl-20069] Optional[local:sl-20066] Optional[local:sl-20061] Optional[local:sl-20071] Optional[local:sl-20058] Optional[local:sl-20072] Optional[local:sl-20073] Optional[local:sl-20074] Optional[local:sl-20076] Optional[local:sl-20070] Optional[local:sl-20077] Optional[local:sl-20078] Optional[local:sl-20079] Optional[local:sl-20080] Optional[local:sl-20082] Optional[local:sl-20083] Optional[local:sl-20085] Optional[local:sl-20086] Optional[local:sl-20087] Optional[local:sl-20088] Optional[local:sl-20075] Optional[local:sl-20089] Optional[local:sl-20081] Optional[local:sl-20090] Optional[local:sl-20091] Optional[local:sl-20094] Optional[local:sl-20095] Optional[local:sl-20096] Optional[local:sl-20097] Optional[local:sl-20099] Optional[local:sl-20092] Optional[local:sl-20084] Optional[local:sl-20093] Optional[local:sl-20098] 
0.0 57600.0 66600.0 61800.0 68100.0 67800.0 56700.0 66600.0 68100.0 66600.0 62400.0 66000.0 67500.0 60300.0 67800.0 52200.0 61200.0 55500.0 67200.0 67200.0 56400.0 66300.0 58200.0 67500.0 54300.0 62700.0 66300.0 68400.0 67500.0 55500.0 66900.0 60600.0 63000.0 57000.0 45000.0 44100.0 60600.0 66600.0 55500.0 62700.0 66900.0 66300.0 67200.0 57900.0 68100.0 67800.0 65400.0 64200.0 56700.0 57000.0 58800.0 62400.0 67500.0 65100.0 62700.0 66600.0 58200.0 52800.0 55200.0 64800.0 62400.0 60300.0 63600.0 65400.0 62400.0 61500.0 60600.0 58800.0 67800.0 64800.0 56400.0 59100.0 55200.0 62100.0 60600.0 67800.0 66300.0 57300.0 48300.0 53400.0 66300.0 58200.0 63300.0 64500.0 57600.0 65100.0 65700.0 55800.0 66600.0 60900.0 60600.0 66600.0 53700.0 62100.0 46800.0 65100.0 67200.0 43500.0 61200.0 57900.0 55800.0 
1.033 69600.0 76800.0 71700.0 78000.0 77700.0 66900.0 76200.0 78000.0 76800.0 72300.0 75600.0 77700.0 70800.0 78000.0 62100.0 71100.0 65400.0 77400.0 77100.0 66300.0 75900.0 68100.0 77700.0 64200.0 72600.0 76200.0 78000.0 77400.0 65400.0 76800.0 70800.0 72900.0 66900.0 55500.0 53700.0 70200.0 76200.0 65100.0 72600.0 76500.0 76500.0 77100.0 67500.0 78000.0 77700.0 75600.0 74100.0 66900.0 66900.0 68400.0 72300.0 77400.0 75300.0 72300.0 76800.0 68100.0 63000.0 65100.0 74700.0 72300.0 67500.0 73200.0 75300.0 72600.0 71100.0 70800.0 68400.0 78000.0 74700.0 66900.0 69000.0 65100.0 69600.0 70500.0 77700.0 76200.0 67200.0 58500.0 63300.0 75900.0 67800.0 70800.0 74400.0 67500.0 74700.0 73500.0 65400.0 76500.0 70800.0 67800.0 76500.0 61500.0 69300.0 56700.0 75000.0 77100.0 53400.0 68700.0 65100.0 66000.0 
2.052 79800.0 86700.0 81600.0 87900.0 88200.0 77100.0 86700.0 87600.0 87000.0 82200.0 86100.0 87300.0 81000.0 87600.0 72000.0 81000.0 75300.0 87000.0 87000.0 76500.0 86400.0 78300.0 87900.0 74100.0 82800.0 86100.0 87900.0 87000.0 75300.0 86400.0 80700.0 82800.0 77100.0 65400.0 63600.0 80700.0 86700.0 75000.0 83100.0 86700.0 86400.0 86700.0 77400.0 87900.0 87900.0 85200.0 84000.0 76800.0 76800.0 78900.0 81900.0 87900.0 85500.0 82800.0 86700.0 78000.0 72600.0 75300.0 84900.0 82200.0 77400.0 83400.0 85800.0 82200.0 81000.0 80700.0 78600.0 88200.0 84900.0 77100.0 78600.0 75000.0 79500.0 80700.0 87900.0 87000.0 77400.0 68400.0 73200.0 86100.0 77400.0 81000.0 84300.0 77100.0 84900.0 83100.0 75900.0 86700.0 81000.0 77700.0 87000.0 71100.0 79200.0 67200.0 84900.0 87000.0 63000.0 78600.0 75300.0 75900.0 
3.057 90300.0 99300.0 91500.0 98100.0 100800.0 87000.0 96300.0 98400.0 96900.0 92400.0 96000.0 97500.0 90900.0 98100.0 81600.0 91200.0 85800.0 96900.0 96900.0 86100.0 96300.0 88200.0 97800.0 84300.0 92700.0 96000.0 98400.0 97500.0 85500.0 96300.0 90900.0 92400.0 87600.0 75600.0 74100.0 90600.0 96900.0 85200.0 93000.0 96600.0 96300.0 97200.0 87300.0 97500.0 97800.0 95400.0 93900.0 86700.0 86700.0 88800.0 91800.0 100500.0 95400.0 92400.0 96900.0 87900.0 82500.0 84900.0 95100.0 92400.0 87600.0 93300.0 95400.0 91800.0 90900.0 90900.0 88800.0 98100.0 94800.0 86700.0 89100.0 85200.0 89700.0 90600.0 97800.0 96600.0 87300.0 78600.0 83400.0 96300.0 87600.0 90900.0 94500.0 87600.0 95400.0 93000.0 85800.0 96300.0 90900.0 88200.0 96600.0 81600.0 89700.0 77100.0 94800.0 97200.0 73200.0 88800.0 87900.0 85500.0 
4.061 100200.0 109200.0 102000.0 110700.0 110700.0 96900.0 106800.0 108000.0 106800.0 102300.0 106200.0 107400.0 101100.0 108000.0 92100.0 101400.0 95700.0 107100.0 106800.0 96000.0 106200.0 98400.0 107700.0 94200.0 102600.0 106200.0 108300.0 107400.0 95400.0 106500.0 100800.0 102900.0 97500.0 85500.0 84000.0 100800.0 107100.0 94800.0 102900.0 107100.0 106500.0 107100.0 97500.0 107700.0 107700.0 105300.0 104100.0 96900.0 96900.0 99000.0 101700.0 110100.0 105300.0 102300.0 106800.0 98100.0 93000.0 95100.0 105300.0 102300.0 98100.0 103500.0 105600.0 102000.0 101400.0 101100.0 98700.0 108300.0 104700.0 97200.0 99000.0 95400.0 99600.0 100200.0 108000.0 106500.0 97500.0 88200.0 93300.0 106500.0 97500.0 100800.0 104700.0 97800.0 105000.0 103200.0 95700.0 106800.0 101100.0 97800.0 106800.0 91800.0 99600.0 87000.0 104700.0 106800.0 83400.0 98400.0 97500.0 96000.0 
5.064 106500.0 119400.0 111600.0 117000.0 118200.0 107100.0 113700.0 118200.0 117300.0 111000.0 116100.0 117300.0 111000.0 118200.0 102300.0 111300.0 106200.0 117300.0 117000.0 106500.0 115800.0 108600.0 117300.0 104400.0 113100.0 116400.0 114300.0 117600.0 105300.0 119400.0 111300.0 113100.0 106200.0 95700.0 93900.0 111000.0 117300.0 105300.0 112800.0 117000.0 116400.0 117600.0 107700.0 117900.0 117000.0 115500.0 114900.0 107100.0 106800.0 108900.0 112500.0 114900.0 115200.0 112200.0 116700.0 108300.0 102900.0 105300.0 110400.0 112500.0 108000.0 113700.0 115200.0 112200.0 111900.0 110400.0 108900.0 118500.0 115200.0 104100.0 109200.0 105600.0 110100.0 110400.0 115500.0 116400.0 107700.0 98400.0 103200.0 114000.0 108000.0 111300.0 114600.0 108000.0 115200.0 113700.0 105600.0 117000.0 111300.0 108000.0 117300.0 101700.0 109500.0 97200.0 114600.0 117000.0 93300.0 108300.0 107700.0 106200.0 
6.067 107100.0 121800.0 117300.0 117600.0 118500.0 111000.0 114000.0 122400.0 120900.0 112200.0 126300.0 125100.0 120300.0 121800.0 111000.0 120300.0 108300.0 123600.0 127200.0 110700.0 116700.0 110700.0 127800.0 109800.0 120300.0 120900.0 115200.0 126300.0 114600.0 121800.0 114600.0 120000.0 107700.0 104400.0 101700.0 120900.0 117900.0 114300.0 121500.0 127200.0 126900.0 123900.0 118200.0 128400.0 117900.0 119700.0 119100.0 115200.0 117300.0 119100.0 114300.0 114900.0 121800.0 121500.0 123600.0 114600.0 108000.0 115200.0 110400.0 120900.0 118200.0 121500.0 125700.0 117300.0 113700.0 111000.0 117900.0 122700.0 117300.0 104400.0 116100.0 109500.0 120300.0 119100.0 116100.0 125700.0 112200.0 108000.0 112500.0 114900.0 115200.0 115800.0 124800.0 114000.0 119400.0 116100.0 115500.0 119100.0 115800.0 115500.0 121200.0 111900.0 118800.0 101700.0 122400.0 126000.0 102300.0 116400.0 118200.0 111900.0 
7.07 107100.0 121800.0 118500.0 117600.0 118500.0 111600.0 114000.0 122400.0 121200.0 112200.0 129900.0 126900.0 120600.0 122100.0 111900.0 120900.0 108300.0 124500.0 129300.0 110700.0 116700.0 110700.0 128700.0 110400.0 120300.0 120900.0 115200.0 126900.0 115500.0 121800.0 114600.0 120600.0 107700.0 104400.0 101700.0 125100.0 117900.0 114900.0 122100.0 131100.0 129900.0 123900.0 119700.0 131700.0 117900.0 120000.0 119100.0 116100.0 119100.0 120900.0 114300.0 114900.0 122700.0 122100.0 123600.0 114900.0 108300.0 119100.0 110400.0 122100.0 119700.0 123000.0 127200.0 117600.0 113700.0 111000.0 118200.0 122700.0 117300.0 104400.0 116100.0 109500.0 121800.0 120000.0 116100.0 126300.0 112500.0 108600.0 112800.0 114900.0 115200.0 115800.0 126000.0 114300.0 119400.0 116100.0 115500.0 119100.0 115800.0 115500.0 121200.0 113400.0 119100.0 102000.0 122700.0 126600.0 102900.0 118200.0 120000.0 111900.0 
8.072 107100.0 121800.0 118500.0 117600.0 118500.0 111600.0 114000.0 122400.0 121200.0 112200.0 129900.0 126900.0 120600.0 122100.0 111900.0 120900.0 108300.0 124500.0 129300.0 110700.0 116700.0 110700.0 128700.0 110400.0 120300.0 120900.0 115200.0 126900.0 115500.0 121800.0 114600.0 120600.0 107700.0 104400.0 101700.0 125100.0 117900.0 114900.0 122100.0 131700.0 129900.0 123900.0 119700.0 132000.0 117900.0 120000.0 119100.0 116100.0 119100.0 120900.0 114300.0 114900.0 122700.0 122100.0 123600.0 114900.0 108300.0 119100.0 110400.0 122100.0 119700.0 123000.0 127200.0 117600.0 113700.0 111000.0 118200.0 122700.0 117300.0 104400.0 116100.0 109500.0 121800.0 120000.0 116100.0 126300.0 112500.0 108600.0 112800.0 114900.0 115200.0 115800.0 126000.0 114300.0 119400.0 116100.0 115500.0 119100.0 115800.0 115500.0 121200.0 113400.0 119100.0 102000.0 122700.0 126600.0 102900.0 118200.0 120000.0 111900.0 
9.074 107100.0 121800.0 118500.0 117600.0 118500.0 111600.0 114000.0 122400.0 121200.0 112200.0 129900.0 126900.0 120600.0 122100.0 111900.0 120900.0 108300.0 124500.0 129300.0 110700.0 116700.0 110700.0 128700.0 110400.0 120300.0 120900.0 115200.0 126900.0 115500.0 121800.0 114600.0 120600.0 107700.0 104400.0 101700.0 125100.0 117900.0 114900.0 122100.0 131700.0 129900.0 123900.0 119700.0 132000.0 117900.0 120000.0 119100.0 116100.0 119100.0 120900.0 114300.0 114900.0 122700.0 122100.0 123600.0 114900.0 108300.0 119100.0 110400.0 122100.0 119700.0 123000.0 127200.0 117600.0 113700.0 111000.0 118200.0 122700.0 117300.0 104400.0 116100.0 109500.0 121800.0 120000.0 116100.0 126300.0 112500.0 108600.0 112800.0 114900.0 115200.0 115800.0 126000.0 114300.0 119400.0 116100.0 115500.0 119100.0 115800.0 115500.0 121200.0 113400.0 119100.0 102000.0 122700.0 126600.0 102900.0 118200.0 120000.0 111900.0 
