time mean min max stdev confval
0 0.0 0.0 0.0 0 0
1 0.0 0.0 0.0 0 0
2 0.0 0.0 0.0 0 0
3 2045.0 2045.0 2045.0 0 0
4 2048.0 2048.0 2048.0 0 0
5 0.0 0.0 0.0 0 0
6 2048.0 2048.0 2048.0 0 0
7 0.0 0.0 0.0 0 0
8 2045.0 2045.0 2045.0 0 0
9 0.0 0.0 0.0 0 0
10 2045.0 2045.0 2045.0 0 0
11 0.0 0.0 0.0 0 0
12 0.0 0.0 0.0 0 0
13 0.0 0.0 0.0 0 0
14 4091.0 4091.0 4091.0 0 0
15 0.0 0.0 0.0 0 0
16 1806.0 1806.0 1806.0 0 0
17 0.0 0.0 0.0 0 0
18 2048.0 2048.0 2048.0 0 0
19 1804.0 1804.0 1804.0 0 0
20 0.0 0.0 0.0 0 0
21 0.0 0.0 0.0 0 0
