time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           Optional[local:l-10]          Optional[local:l-11]          Optional[local:l-12]          Optional[local:l-13]          Optional[local:l-14]          Optional[local:l-15]          
0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.002                         2048.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.003                         3072.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.003                         4096.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.004                         5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.005                         5000.0                        0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
6.006                         6024.0                        0.0                           2048.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
7.007                         7048.0                        0.0                           3072.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
8.008                         8072.0                        0.0                           4096.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
9.009                         10000.0                       0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
10.009                        10000.0                       1024.0                        6024.0                        1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
11.01                         11024.0                       2048.0                        7048.0                        2048.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
12.011                        12048.0                       3072.0                        8072.0                        3072.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
13.012                        13072.0                       4096.0                        9096.0                        4096.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
14.013                        15000.0                       5000.0                        10000.0                       5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        0.0                           
15.014                        15000.0                       6024.0                        11024.0                       6024.0                        1024.0                        0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           2048.0                        1024.0                        
16.014                        16024.0                       7048.0                        12048.0                       7048.0                        2048.0                        0.0                           2048.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           3072.0                        2048.0                        
17.015                        17048.0                       8072.0                        13072.0                       8072.0                        3072.0                        0.0                           3072.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           4096.0                        3072.0                        
18.016                        18072.0                       9096.0                        14096.0                       9096.0                        4096.0                        0.0                           4096.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           5000.0                        4096.0                        
19.016                        20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           6024.0                        5000.0                        
20.017                        20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           7048.0                        5000.0                        
21.019                        20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           8072.0                        5000.0                        
22.019                        20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           9096.0                        5000.0                        
23.02                         20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           10000.0                       5000.0                        
24.02                         20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           10000.0                       5000.0                        
25.021                        20000.0                       10000.0                       15000.0                       10000.0                       5000.0                        0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           10000.0                       5000.0                        
