Time Mean Min Max StDev ConfidenceInterval
0 6945600.0 6945600.0 6945600.0 0 0
1 6934200.0 6934200.0 6934200.0 0 0
2 6933000.0 6933000.0 6933000.0 0 0
3 6932700.0 6932700.0 6932700.0 0 0
4 6931200.0 6931200.0 6931200.0 0 0
5 6928800.0 6928800.0 6928800.0 0 0
6 6925200.0 6925200.0 6925200.0 0 0
7 6924000.0 6924000.0 6924000.0 0 0
8 6919500.0 6919500.0 6919500.0 0 0
9 6919200.0 6919200.0 6919200.0 0 0
10 6918900.0 6918900.0 6918900.0 0 0
11 6918300.0 6918300.0 6918300.0 0 0
12 6916200.0 6916200.0 6916200.0 0 0
13 6914400.0 6914400.0 6914400.0 0 0
14 6913800.0 6913800.0 6913800.0 0 0
15 6913200.0 6913200.0 6913200.0 0 0
16 6911100.0 6911100.0 6911100.0 0 0
17 6911100.0 6911100.0 6911100.0 0 0
18 6910800.0 6910800.0 6910800.0 0 0
19 6909600.0 6909600.0 6909600.0 0 0
20 6909600.0 6909600.0 6909600.0 0 0
21 6909000.0 6909000.0 6909000.0 0 0
22 6907800.0 6907800.0 6907800.0 0 0
23 6905700.0 6905700.0 6905700.0 0 0
24 6903900.0 6903900.0 6903900.0 0 0
25 6903900.0 6903900.0 6903900.0 0 0
26 6903900.0 6903900.0 6903900.0 0 0
27 6902400.0 6902400.0 6902400.0 0 0
28 6899700.0 6899700.0 6899700.0 0 0
29 6899700.0 6899700.0 6899700.0 0 0
30 6899400.0 6899400.0 6899400.0 0 0
31 6897300.0 6897300.0 6897300.0 0 0
32 6896700.0 6896700.0 6896700.0 0 0
33 6895200.0 6895200.0 6895200.0 0 0
34 6894900.0 6894900.0 6894900.0 0 0
35 6894300.0 6894300.0 6894300.0 0 0
36 6894000.0 6894000.0 6894000.0 0 0
37 6894000.0 6894000.0 6894000.0 0 0
38 6893400.0 6893400.0 6893400.0 0 0
39 6892800.0 6892800.0 6892800.0 0 0
40 6892800.0 6892800.0 6892800.0 0 0
41 6892500.0 6892500.0 6892500.0 0 0
42 6892200.0 6892200.0 6892200.0 0 0
43 6892200.0 6892200.0 6892200.0 0 0
44 6891300.0 6891300.0 6891300.0 0 0
45 6891000.0 6891000.0 6891000.0 0 0
46 6890400.0 6890400.0 6890400.0 0 0
47 6889800.0 6889800.0 6889800.0 0 0
48 6888300.0 6888300.0 6888300.0 0 0
49 6887400.0 6887400.0 6887400.0 0 0
50 6887100.0 6887100.0 6887100.0 0 0
51 6886500.0 6886500.0 6886500.0 0 0
52 6885900.0 6885900.0 6885900.0 0 0
53 6884700.0 6884700.0 6884700.0 0 0
54 6884400.0 6884400.0 6884400.0 0 0
55 6883500.0 6883500.0 6883500.0 0 0
56 6882000.0 6882000.0 6882000.0 0 0
57 6881400.0 6881400.0 6881400.0 0 0
58 6880800.0 6880800.0 6880800.0 0 0
59 6880500.0 6880500.0 6880500.0 0 0
60 6879600.0 6879600.0 6879600.0 0 0
61 6878700.0 6878700.0 6878700.0 0 0
62 6878100.0 6878100.0 6878100.0 0 0
63 6876900.0 6876900.0 6876900.0 0 0
64 6876600.0 6876600.0 6876600.0 0 0
65 6876600.0 6876600.0 6876600.0 0 0
66 6875700.0 6875700.0 6875700.0 0 0
67 6875400.0 6875400.0 6875400.0 0 0
68 6875400.0 6875400.0 6875400.0 0 0
69 6875100.0 6875100.0 6875100.0 0 0
70 6874800.0 6874800.0 6874800.0 0 0
71 6874200.0 6874200.0 6874200.0 0 0
72 6872700.0 6872700.0 6872700.0 0 0
73 6871800.0 6871800.0 6871800.0 0 0
74 6871500.0 6871500.0 6871500.0 0 0
75 6870300.0 6870300.0 6870300.0 0 0
76 6870000.0 6870000.0 6870000.0 0 0
77 6870000.0 6870000.0 6870000.0 0 0
78 6869700.0 6869700.0 6869700.0 0 0
79 6869700.0 6869700.0 6869700.0 0 0
80 6869100.0 6869100.0 6869100.0 0 0
81 6868800.0 6868800.0 6868800.0 0 0
82 6868500.0 6868500.0 6868500.0 0 0
83 6867900.0 6867900.0 6867900.0 0 0
84 6867000.0 6867000.0 6867000.0 0 0
85 6864600.0 6864600.0 6864600.0 0 0
86 6863400.0 6863400.0 6863400.0 0 0
87 6862500.0 6862500.0 6862500.0 0 0
88 6862500.0 6862500.0 6862500.0 0 0
89 6861000.0 6861000.0 6861000.0 0 0
90 6860400.0 6860400.0 6860400.0 0 0
91 6859200.0 6859200.0 6859200.0 0 0
92 6859200.0 6859200.0 6859200.0 0 0
93 6858600.0 6858600.0 6858600.0 0 0
94 6855900.0 6855900.0 6855900.0 0 0
95 6855300.0 6855300.0 6855300.0 0 0
96 6853800.0 6853800.0 6853800.0 0 0
97 6849600.0 6849600.0 6849600.0 0 0
98 6844200.0 6844200.0 6844200.0 0 0
99 6833100.0 6833100.0 6833100.0 0 0
