Time Mean Min Max StDev ConfidenceInterval
0 7043100.0 7043100.0 7043100.0 0 0
1 7008000.0 7008000.0 7008000.0 0 0
2 7006800.0 7006800.0 7006800.0 0 0
3 7006800.0 7006800.0 7006800.0 0 0
4 7002300.0 7002300.0 7002300.0 0 0
5 6999300.0 6999300.0 6999300.0 0 0
6 6998400.0 6998400.0 6998400.0 0 0
7 6994500.0 6994500.0 6994500.0 0 0
8 6994200.0 6994200.0 6994200.0 0 0
9 6993000.0 6993000.0 6993000.0 0 0
10 6990900.0 6990900.0 6990900.0 0 0
11 6985800.0 6985800.0 6985800.0 0 0
12 6984600.0 6984600.0 6984600.0 0 0
13 6983400.0 6983400.0 6983400.0 0 0
14 6983100.0 6983100.0 6983100.0 0 0
15 6982800.0 6982800.0 6982800.0 0 0
16 6982800.0 6982800.0 6982800.0 0 0
17 6982200.0 6982200.0 6982200.0 0 0
18 6980400.0 6980400.0 6980400.0 0 0
19 6978600.0 6978600.0 6978600.0 0 0
20 6976500.0 6976500.0 6976500.0 0 0
21 6976200.0 6976200.0 6976200.0 0 0
22 6975600.0 6975600.0 6975600.0 0 0
23 6974400.0 6974400.0 6974400.0 0 0
24 6972600.0 6972600.0 6972600.0 0 0
25 6970800.0 6970800.0 6970800.0 0 0
26 6970500.0 6970500.0 6970500.0 0 0
27 6967800.0 6967800.0 6967800.0 0 0
28 6967800.0 6967800.0 6967800.0 0 0
29 6967500.0 6967500.0 6967500.0 0 0
30 6966900.0 6966900.0 6966900.0 0 0
31 6966600.0 6966600.0 6966600.0 0 0
32 6966600.0 6966600.0 6966600.0 0 0
33 6966300.0 6966300.0 6966300.0 0 0
34 6964200.0 6964200.0 6964200.0 0 0
35 6963900.0 6963900.0 6963900.0 0 0
36 6963900.0 6963900.0 6963900.0 0 0
37 6962100.0 6962100.0 6962100.0 0 0
38 6961800.0 6961800.0 6961800.0 0 0
39 6960900.0 6960900.0 6960900.0 0 0
40 6959400.0 6959400.0 6959400.0 0 0
41 6959100.0 6959100.0 6959100.0 0 0
42 6958200.0 6958200.0 6958200.0 0 0
43 6957600.0 6957600.0 6957600.0 0 0
44 6957300.0 6957300.0 6957300.0 0 0
45 6956700.0 6956700.0 6956700.0 0 0
46 6954900.0 6954900.0 6954900.0 0 0
47 6954600.0 6954600.0 6954600.0 0 0
48 6954000.0 6954000.0 6954000.0 0 0
49 6951900.0 6951900.0 6951900.0 0 0
50 6951300.0 6951300.0 6951300.0 0 0
51 6950700.0 6950700.0 6950700.0 0 0
52 6949800.0 6949800.0 6949800.0 0 0
53 6949800.0 6949800.0 6949800.0 0 0
54 6948000.0 6948000.0 6948000.0 0 0
55 6947400.0 6947400.0 6947400.0 0 0
56 6946800.0 6946800.0 6946800.0 0 0
57 6946800.0 6946800.0 6946800.0 0 0
58 6946500.0 6946500.0 6946500.0 0 0
59 6946200.0 6946200.0 6946200.0 0 0
60 6946200.0 6946200.0 6946200.0 0 0
61 6945600.0 6945600.0 6945600.0 0 0
62 6945300.0 6945300.0 6945300.0 0 0
63 6942300.0 6942300.0 6942300.0 0 0
64 6941700.0 6941700.0 6941700.0 0 0
65 6941400.0 6941400.0 6941400.0 0 0
66 6940500.0 6940500.0 6940500.0 0 0
67 6938700.0 6938700.0 6938700.0 0 0
68 6937800.0 6937800.0 6937800.0 0 0
69 6936300.0 6936300.0 6936300.0 0 0
70 6936000.0 6936000.0 6936000.0 0 0
71 6935700.0 6935700.0 6935700.0 0 0
72 6934500.0 6934500.0 6934500.0 0 0
73 6933600.0 6933600.0 6933600.0 0 0
74 6930300.0 6930300.0 6930300.0 0 0
75 6929100.0 6929100.0 6929100.0 0 0
76 6927000.0 6927000.0 6927000.0 0 0
77 6925200.0 6925200.0 6925200.0 0 0
78 6924300.0 6924300.0 6924300.0 0 0
79 6924300.0 6924300.0 6924300.0 0 0
80 6922200.0 6922200.0 6922200.0 0 0
81 6919500.0 6919500.0 6919500.0 0 0
82 6919200.0 6919200.0 6919200.0 0 0
83 6918600.0 6918600.0 6918600.0 0 0
84 6916500.0 6916500.0 6916500.0 0 0
85 6916500.0 6916500.0 6916500.0 0 0
86 6914700.0 6914700.0 6914700.0 0 0
87 6913200.0 6913200.0 6913200.0 0 0
88 6912900.0 6912900.0 6912900.0 0 0
89 6911700.0 6911700.0 6911700.0 0 0
90 6909900.0 6909900.0 6909900.0 0 0
91 6908100.0 6908100.0 6908100.0 0 0
92 6908100.0 6908100.0 6908100.0 0 0
93 6905700.0 6905700.0 6905700.0 0 0
94 6905100.0 6905100.0 6905100.0 0 0
95 6903300.0 6903300.0 6903300.0 0 0
96 6898200.0 6898200.0 6898200.0 0 0
97 6894000.0 6894000.0 6894000.0 0 0
98 6893100.0 6893100.0 6893100.0 0 0
99 6876600.0 6876600.0 6876600.0 0 0
