SortedPeers TotalUploaded
0 7438800.0
1 7437600.0
2 7433700.0
3 7410300.0
4 7394400.0
5 7369800.0
6 7368300.0
7 7303200.0
8 7274100.0
9 7272600.0
10 7263600.0
11 7233900.0
12 7223100.0
13 7188600.0
14 7185000.0
15 7177500.0
16 7177200.0
17 7172400.0
18 7149900.0
19 7144200.0
20 7136700.0
21 7127100.0
22 7117200.0
23 7116900.0
24 7112400.0
25 7103100.0
26 7095000.0
27 7082100.0
28 7065900.0
29 7041300.0
30 7034100.0
31 7032900.0
32 7024800.0
33 7022100.0
34 7006500.0
35 7006500.0
36 7006200.0
37 6986100.0
38 6975000.0
39 6967200.0
40 6922500.0
41 6916500.0
42 6912300.0
43 6908400.0
44 6903900.0
45 6900900.0
46 6892200.0
47 6885300.0
48 6881700.0
49 6853800.0
50 6852300.0
51 6842100.0
52 6839100.0
53 6835200.0
54 6832200.0
55 6828000.0
56 6828000.0
57 6813300.0
58 6813000.0
59 6803100.0
60 6801900.0
61 6801300.0
62 6800700.0
63 6789600.0
64 6777000.0
65 6775500.0
66 6774300.0
67 6764700.0
68 6752400.0
69 6746400.0
70 6744900.0
71 6744000.0
72 6736800.0
73 6732600.0
74 6723000.0
75 6705900.0
76 6687900.0
77 6657900.0
78 6649500.0
79 6640500.0
80 6614700.0
81 6611100.0
82 6605400.0
83 6597600.0
84 6595500.0
85 6591600.0
86 6562200.0
87 6561600.0
88 6541200.0
89 6532500.0
90 6508200.0
91 6505200.0
92 6504600.0
93 6489300.0
94 6479700.0
95 6436800.0
96 6407400.0
97 6406500.0
98 6291600.0
99 6257100.0
