time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 0.0
7 0.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0
9 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0
11 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0
13 0.0 0.0 0.0 0.0 0.0
14 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0 0.0
18 0.0025 0.0 0.025 0.007905694150420948 0.004124999999999999
19 0.0025 0.0 0.025 0.007905694150420948 0.004124999999999999
20 0.005 0.0 0.025 0.010540925533894598 0.0055
21 0.0075000000000000015 0.0 0.025 0.0120761472884912 0.00630104158056428
22 0.01 0.0 0.025 0.012909944487358056 0.006736096792653739
23 0.0125 0.0 0.025 0.013176156917368249 0.006875000000000001
24 0.015000000000000003 0.0 0.025 0.012909944487358056 0.006736096792653739
25 0.015000000000000003 0.0 0.025 0.012909944487358056 0.006736096792653739
26 0.02 0.0 0.025 0.010540925533894598 0.0055
27 0.02 0.0 0.025 0.010540925533894598 0.0055
28 0.0225 0.0 0.025 0.007905694150420948 0.004124999999999999
29 0.0225 0.0 0.025 0.007905694150420948 0.004124999999999999
30 0.0225 0.0 0.025 0.007905694150420948 0.004124999999999999
31 0.025 0.025 0.025 0.0 0.0
32 0.025 0.025 0.025 0.0 0.0
33 0.025 0.025 0.025 0.0 0.0
34 0.030000000000000006 0.025 0.05 0.010540925533894598 0.0055
35 0.035 0.025 0.05 0.012909944487358056 0.006736096792653739
36 0.035 0.025 0.05 0.012909944487358056 0.006736096792653739
37 0.0375 0.025 0.05 0.013176156917368247 0.006874999999999999
38 0.0425 0.025 0.05 0.012076147288491199 0.006301041580564278
39 0.05 0.025 0.075 0.02041241452319315 0.010650704202070394
40 0.0675 0.025 0.1 0.023717082451262847 0.012375
41 0.08499999999999999 0.05 0.1 0.01748014746950253 0.009120718173477349
42 0.11499999999999999 0.075 0.15 0.024152294576982394 0.012602083161128557
