time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           Optional[local:l-10]          Optional[local:l-11]          Optional[local:l-12]          Optional[local:l-13]          Optional[local:l-14]          Optional[local:l-15]          
0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.003                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.004                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.005                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.006                         0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.007                         0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
6.007                         0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
7.008                         0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
8.009                         0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
9.01                          1.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           
10.011                        1.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           
11.011                        1.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           
12.012                        1.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           
13.012                        1.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           
14.012                        1.0                           1.0                           1.0                           1.0                           0.0                           0.0                           0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           1.0                           
15.013                        1.0                           1.0                           1.0                           1.0                           0.0                           0.0                           0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           1.0                           
16.013                        1.0                           1.0                           1.0                           1.0                           0.0                           0.0                           0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           1.0                           
17.013                        1.0                           1.0                           1.0                           1.0                           0.0                           0.0                           0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1.0                           1.0                           
18.014                        1.0                           1.0                           1.0                           1.0                           1.0                           0.0                           0.0                           1.0                           0.0                           0.0                           0.0                           0.0                           1.0                           0.0                           1.0                           1.0                           
19.015                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           0.0                           1.0                           1.0                           1.0                           1.0                           
20.015                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           0.0                           1.0                           1.0                           1.0                           1.0                           
21.015                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           0.0                           1.0                           1.0                           1.0                           1.0                           
22.016                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           0.0                           1.0                           1.0                           1.0                           1.0                           
23.017                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
24.017                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
25.018                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
