Time Mean Min Max StDev ConfidenceInterval
0 7602600.0 7602600.0 7602600.0 0 0
1 7580400.0 7580400.0 7580400.0 0 0
2 7550700.0 7550700.0 7550700.0 0 0
3 7519500.0 7519500.0 7519500.0 0 0
4 7500900.0 7500900.0 7500900.0 0 0
5 7416900.0 7416900.0 7416900.0 0 0
6 7416900.0 7416900.0 7416900.0 0 0
7 7394700.0 7394700.0 7394700.0 0 0
8 7373700.0 7373700.0 7373700.0 0 0
9 7352700.0 7352700.0 7352700.0 0 0
10 7345200.0 7345200.0 7345200.0 0 0
11 7340400.0 7340400.0 7340400.0 0 0
12 7260000.0 7260000.0 7260000.0 0 0
13 7251300.0 7251300.0 7251300.0 0 0
14 7248900.0 7248900.0 7248900.0 0 0
15 7212000.0 7212000.0 7212000.0 0 0
16 7202700.0 7202700.0 7202700.0 0 0
17 7192800.0 7192800.0 7192800.0 0 0
18 7192500.0 7192500.0 7192500.0 0 0
19 7191300.0 7191300.0 7191300.0 0 0
20 7146000.0 7146000.0 7146000.0 0 0
21 7136700.0 7136700.0 7136700.0 0 0
22 7131300.0 7131300.0 7131300.0 0 0
23 7094400.0 7094400.0 7094400.0 0 0
24 7087500.0 7087500.0 7087500.0 0 0
25 7083000.0 7083000.0 7083000.0 0 0
26 7074900.0 7074900.0 7074900.0 0 0
27 7072500.0 7072500.0 7072500.0 0 0
28 7052700.0 7052700.0 7052700.0 0 0
29 7046400.0 7046400.0 7046400.0 0 0
30 7016100.0 7016100.0 7016100.0 0 0
31 6999300.0 6999300.0 6999300.0 0 0
32 6997500.0 6997500.0 6997500.0 0 0
33 6967800.0 6967800.0 6967800.0 0 0
34 6966900.0 6966900.0 6966900.0 0 0
35 6960300.0 6960300.0 6960300.0 0 0
36 6954900.0 6954900.0 6954900.0 0 0
37 6936900.0 6936900.0 6936900.0 0 0
38 6933300.0 6933300.0 6933300.0 0 0
39 6931500.0 6931500.0 6931500.0 0 0
40 6927900.0 6927900.0 6927900.0 0 0
41 6922200.0 6922200.0 6922200.0 0 0
42 6914700.0 6914700.0 6914700.0 0 0
43 6914100.0 6914100.0 6914100.0 0 0
44 6907500.0 6907500.0 6907500.0 0 0
45 6879900.0 6879900.0 6879900.0 0 0
46 6872700.0 6872700.0 6872700.0 0 0
47 6871500.0 6871500.0 6871500.0 0 0
48 6870900.0 6870900.0 6870900.0 0 0
49 6860700.0 6860700.0 6860700.0 0 0
50 6860400.0 6860400.0 6860400.0 0 0
51 6859500.0 6859500.0 6859500.0 0 0
52 6853800.0 6853800.0 6853800.0 0 0
53 6849300.0 6849300.0 6849300.0 0 0
54 6832200.0 6832200.0 6832200.0 0 0
55 6823500.0 6823500.0 6823500.0 0 0
56 6821700.0 6821700.0 6821700.0 0 0
57 6820200.0 6820200.0 6820200.0 0 0
58 6789300.0 6789300.0 6789300.0 0 0
59 6783900.0 6783900.0 6783900.0 0 0
60 6783900.0 6783900.0 6783900.0 0 0
61 6780000.0 6780000.0 6780000.0 0 0
62 6773100.0 6773100.0 6773100.0 0 0
63 6772800.0 6772800.0 6772800.0 0 0
64 6771900.0 6771900.0 6771900.0 0 0
65 6750300.0 6750300.0 6750300.0 0 0
66 6741900.0 6741900.0 6741900.0 0 0
67 6739200.0 6739200.0 6739200.0 0 0
68 6738600.0 6738600.0 6738600.0 0 0
69 6734100.0 6734100.0 6734100.0 0 0
70 6732300.0 6732300.0 6732300.0 0 0
71 6732000.0 6732000.0 6732000.0 0 0
72 6724800.0 6724800.0 6724800.0 0 0
73 6722100.0 6722100.0 6722100.0 0 0
74 6718500.0 6718500.0 6718500.0 0 0
75 6674400.0 6674400.0 6674400.0 0 0
76 6668400.0 6668400.0 6668400.0 0 0
77 6659400.0 6659400.0 6659400.0 0 0
78 6653700.0 6653700.0 6653700.0 0 0
79 6642000.0 6642000.0 6642000.0 0 0
80 6636900.0 6636900.0 6636900.0 0 0
81 6610500.0 6610500.0 6610500.0 0 0
82 6609600.0 6609600.0 6609600.0 0 0
83 6604500.0 6604500.0 6604500.0 0 0
84 6597000.0 6597000.0 6597000.0 0 0
85 6590700.0 6590700.0 6590700.0 0 0
86 6585300.0 6585300.0 6585300.0 0 0
87 6561900.0 6561900.0 6561900.0 0 0
88 6537900.0 6537900.0 6537900.0 0 0
89 6511500.0 6511500.0 6511500.0 0 0
90 6501000.0 6501000.0 6501000.0 0 0
91 6498600.0 6498600.0 6498600.0 0 0
92 6455100.0 6455100.0 6455100.0 0 0
93 6437100.0 6437100.0 6437100.0 0 0
94 6405900.0 6405900.0 6405900.0 0 0
95 6393600.0 6393600.0 6393600.0 0 0
96 6387300.0 6387300.0 6387300.0 0 0
97 6386100.0 6386100.0 6386100.0 0 0
98 6358800.0 6358800.0 6358800.0 0 0
99 6338100.0 6338100.0 6338100.0 0 0
