Time Mean Min Max StDev ConfidenceInterval
0 7652100.0 7652100.0 7652100.0 0 0
1 7601100.0 7601100.0 7601100.0 0 0
2 7476900.0 7476900.0 7476900.0 0 0
3 7435500.0 7435500.0 7435500.0 0 0
4 7397700.0 7397700.0 7397700.0 0 0
5 7353900.0 7353900.0 7353900.0 0 0
6 7346700.0 7346700.0 7346700.0 0 0
7 7315200.0 7315200.0 7315200.0 0 0
8 7278300.0 7278300.0 7278300.0 0 0
9 7275900.0 7275900.0 7275900.0 0 0
10 7256400.0 7256400.0 7256400.0 0 0
11 7245600.0 7245600.0 7245600.0 0 0
12 7233000.0 7233000.0 7233000.0 0 0
13 7212600.0 7212600.0 7212600.0 0 0
14 7195200.0 7195200.0 7195200.0 0 0
15 7172100.0 7172100.0 7172100.0 0 0
16 7154400.0 7154400.0 7154400.0 0 0
17 7153800.0 7153800.0 7153800.0 0 0
18 7150800.0 7150800.0 7150800.0 0 0
19 7147500.0 7147500.0 7147500.0 0 0
20 7144800.0 7144800.0 7144800.0 0 0
21 7123200.0 7123200.0 7123200.0 0 0
22 7117500.0 7117500.0 7117500.0 0 0
23 7114200.0 7114200.0 7114200.0 0 0
24 7104600.0 7104600.0 7104600.0 0 0
25 7099800.0 7099800.0 7099800.0 0 0
26 7095600.0 7095600.0 7095600.0 0 0
27 7092600.0 7092600.0 7092600.0 0 0
28 7088400.0 7088400.0 7088400.0 0 0
29 7086300.0 7086300.0 7086300.0 0 0
30 7085400.0 7085400.0 7085400.0 0 0
31 7070400.0 7070400.0 7070400.0 0 0
32 7065900.0 7065900.0 7065900.0 0 0
33 7065600.0 7065600.0 7065600.0 0 0
34 7064100.0 7064100.0 7064100.0 0 0
35 7062900.0 7062900.0 7062900.0 0 0
36 7060200.0 7060200.0 7060200.0 0 0
37 7023600.0 7023600.0 7023600.0 0 0
38 7019700.0 7019700.0 7019700.0 0 0
39 6997200.0 6997200.0 6997200.0 0 0
40 6993300.0 6993300.0 6993300.0 0 0
41 6986400.0 6986400.0 6986400.0 0 0
42 6981300.0 6981300.0 6981300.0 0 0
43 6977700.0 6977700.0 6977700.0 0 0
44 6977700.0 6977700.0 6977700.0 0 0
45 6970200.0 6970200.0 6970200.0 0 0
46 6958500.0 6958500.0 6958500.0 0 0
47 6956700.0 6956700.0 6956700.0 0 0
48 6941700.0 6941700.0 6941700.0 0 0
49 6931500.0 6931500.0 6931500.0 0 0
50 6910800.0 6910800.0 6910800.0 0 0
51 6888600.0 6888600.0 6888600.0 0 0
52 6886800.0 6886800.0 6886800.0 0 0
53 6883500.0 6883500.0 6883500.0 0 0
54 6878700.0 6878700.0 6878700.0 0 0
55 6877800.0 6877800.0 6877800.0 0 0
56 6877500.0 6877500.0 6877500.0 0 0
57 6874800.0 6874800.0 6874800.0 0 0
58 6872700.0 6872700.0 6872700.0 0 0
59 6865800.0 6865800.0 6865800.0 0 0
60 6860100.0 6860100.0 6860100.0 0 0
61 6839700.0 6839700.0 6839700.0 0 0
62 6834000.0 6834000.0 6834000.0 0 0
63 6834000.0 6834000.0 6834000.0 0 0
64 6824400.0 6824400.0 6824400.0 0 0
65 6814800.0 6814800.0 6814800.0 0 0
66 6806400.0 6806400.0 6806400.0 0 0
67 6799200.0 6799200.0 6799200.0 0 0
68 6788100.0 6788100.0 6788100.0 0 0
69 6786600.0 6786600.0 6786600.0 0 0
70 6786000.0 6786000.0 6786000.0 0 0
71 6784200.0 6784200.0 6784200.0 0 0
72 6716700.0 6716700.0 6716700.0 0 0
73 6709200.0 6709200.0 6709200.0 0 0
74 6707100.0 6707100.0 6707100.0 0 0
75 6676200.0 6676200.0 6676200.0 0 0
76 6672600.0 6672600.0 6672600.0 0 0
77 6652200.0 6652200.0 6652200.0 0 0
78 6648300.0 6648300.0 6648300.0 0 0
79 6625800.0 6625800.0 6625800.0 0 0
80 6618300.0 6618300.0 6618300.0 0 0
81 6606300.0 6606300.0 6606300.0 0 0
82 6605400.0 6605400.0 6605400.0 0 0
83 6587700.0 6587700.0 6587700.0 0 0
84 6584700.0 6584700.0 6584700.0 0 0
85 6567300.0 6567300.0 6567300.0 0 0
86 6559800.0 6559800.0 6559800.0 0 0
87 6521700.0 6521700.0 6521700.0 0 0
88 6513000.0 6513000.0 6513000.0 0 0
89 6511800.0 6511800.0 6511800.0 0 0
90 6489900.0 6489900.0 6489900.0 0 0
91 6486000.0 6486000.0 6486000.0 0 0
92 6471300.0 6471300.0 6471300.0 0 0
93 6451500.0 6451500.0 6451500.0 0 0
94 6437700.0 6437700.0 6437700.0 0 0
95 6410400.0 6410400.0 6410400.0 0 0
96 6394800.0 6394800.0 6394800.0 0 0
97 6354600.0 6354600.0 6354600.0 0 0
98 6324900.0 6324900.0 6324900.0 0 0
99 6323700.0 6323700.0 6323700.0 0 0
